sex,age,h.cent,h.cm,bpC50,bpC90,bpC95,bpC9512,bp
2,14,75,165.7,109,123,126,138,sbp
2,14,90,169.7,109,123,127,139,sbp
2,14,95,172.1,109,123,127,139,sbp
2,15,5,151.7,105,118,124,136,sbp
2,15,10,154,106,119,124,136,sbp
2,15,25,157.9,107,121,125,137,sbp
2,15,50,162.3,108,122,126,138,sbp
2,15,75,166.7,109,123,127,139,sbp
2,15,90,170.6,109,123,127,139,sbp
2,15,95,173,109,124,128,140,sbp
2,16,5,152.1,106,119,124,136,sbp
2,16,10,154.5,107,120,125,137,sbp
2,16,25,158.4,108,122,125,137,sbp
2,16,50,162.8,109,123,127,139,sbp
2,16,75,167.1,109,124,127,139,sbp
2,16,90,171.1,110,124,128,140,sbp
2,16,95,173.4,110,124,128,140,sbp
2,17,5,152.4,107,120,125,137,sbp
2,17,10,154.7,108,121,125,137,sbp
2,17,25,158.7,109,123,126,138,sbp
2,17,50,163,110,124,127,139,sbp
2,17,75,167.4,110,124,128,140,sbp
2,17,90,171.3,110,125,128,140,sbp
2,17,95,173.7,111,125,128,140,sbp
1,2,5,86.1,43,55,57,69,dbp
1,2,10,87.4,43,55,58,70,dbp
1,2,25,89.6,44,56,58,70,dbp
1,2,50,92.1,44,56,59,71,dbp
1,2,75,94.7,45,57,60,72,dbp
1,2,90,97.1,46,58,61,73,dbp
1,2,95,98.5,46,58,61,73,dbp
1,3,5,92.5,45,58,60,72,dbp
1,3,10,93.9,46,58,61,73,dbp
1,3,25,96.3,46,59,61,73,dbp
1,3,50,99,47,59,62,74,dbp
1,3,75,101.8,48,60,63,75,dbp
1,3,90,104.3,49,61,64,76,dbp
1,3,95,105.8,49,61,64,76,dbp
1,4,5,98.5,48,60,63,75,dbp
1,4,10,100.2,49,61,64,76,dbp
1,4,25,102.9,49,62,65,77,dbp
1,4,50,105.9,50,62,66,78,dbp
1,4,75,108.9,51,63,67,79,dbp
1,4,90,111.5,52,64,67,79,dbp
1,4,95,113.2,52,64,68,80,dbp
1,5,5,104.4,51,63,66,78,dbp
1,5,10,106.2,51,64,67,79,dbp
1,5,25,109.1,52,65,68,80,dbp
1,5,50,112.4,53,65,69,81,dbp
1,5,75,115.7,54,66,70,82,dbp
1,5,90,118.6,55,67,70,82,dbp
1,5,95,120.3,55,67,71,83,dbp
1,6,5,110.3,54,66,69,81,dbp
1,6,10,112.2,54,66,70,82,dbp
1,6,25,115.3,55,67,70,82,dbp
1,6,50,118.9,56,68,71,83,dbp
1,6,75,122.4,57,68,72,84,dbp
1,6,90,125.6,57,69,72,84,dbp
1,6,95,127.5,58,69,73,85,dbp
1,7,5,116.1,56,68,71,83,dbp
1,7,10,118,56,68,71,83,dbp
1,7,25,121.4,57,69,72,84,dbp
1,7,50,125.1,58,70,73,85,dbp
1,7,75,128.9,58,70,73,85,dbp
1,7,90,132.4,59,71,74,86,dbp
1,7,95,134.5,59,71,74,86,dbp
1,8,5,121.4,57,69,72,84,dbp
1,8,10,123.5,57,70,73,85,dbp
1,8,25,127,58,70,73,85,dbp
1,8,50,131,59,71,74,86,dbp
1,8,75,135.1,59,72,75,87,dbp
1,8,90,138.8,60,72,75,87,dbp
1,8,95,141,60,73,75,87,dbp
1,9,5,126,57,70,74,86,dbp
1,9,10,128.3,58,71,74,86,dbp
1,9,25,132.1,59,72,75,87,dbp
1,9,50,136.3,60,73,76,88,dbp
1,9,75,140.7,61,74,76,88,dbp
1,9,90,144.7,62,74,77,89,dbp
1,9,95,147.1,62,74,77,89,dbp
1,10,5,130.2,59,72,76,88,dbp
1,10,10,132.7,60,73,76,88,dbp
1,10,25,136.7,61,74,77,89,dbp
1,10,50,141.3,62,74,77,89,dbp
1,10,75,145.9,63,75,78,90,dbp
1,10,90,150.1,63,75,78,90,dbp
1,10,95,152.7,64,76,78,90,dbp
1,11,5,134.7,61,74,77,89,dbp
1,11,10,137.3,61,74,78,90,dbp
1,11,25,141.5,62,75,78,90,dbp
1,11,50,146.4,63,75,78,90,dbp
1,11,75,151.3,63,75,78,90,dbp
1,11,90,155.8,63,76,78,90,dbp
1,11,95,158.6,63,76,78,90,dbp
1,12,5,140.3,61,75,78,90,dbp
1,12,10,143,62,75,78,90,dbp
1,12,25,147.5,62,75,78,90,dbp
1,12,50,152.7,62,75,78,90,dbp
1,12,75,157.9,62,75,78,90,dbp
1,12,90,162.6,63,76,79,91,dbp
1,12,95,165.5,63,76,79,91,dbp
1,13,5,147,61,74,78,90,dbp
1,13,10,150,60,74,78,90,dbp
1,13,25,154.9,61,74,78,90,dbp
1,13,50,160.3,62,75,78,90,dbp
1,13,75,165.7,63,76,80,92,dbp
1,13,90,170.5,64,77,81,93,dbp
1,13,95,173.4,65,77,81,93,dbp
1,14,5,153.8,60,74,77,89,dbp
1,14,10,156.9,60,74,78,90,dbp
1,14,25,162,62,75,79,91,dbp
1,14,50,167.5,64,77,81,93,dbp
1,14,75,172.7,65,78,82,94,dbp
1,14,90,177.4,66,79,83,95,dbp
1,14,95,180.1,67,80,84,96,dbp
1,15,5,159,61,75,78,90,dbp
1,15,10,162,62,76,79,91,dbp
1,15,25,166.9,64,78,81,93,dbp
1,15,50,172.2,65,79,83,95,dbp
1,15,75,177.2,66,80,84,96,dbp
1,15,90,181.6,67,81,85,97,dbp
1,15,95,184.2,68,81,85,97,dbp
